STATE_NAME,PC_NAME,CANDIDATES NAME,SEX,AGE,CATEGORY,PARTY NAME,PARTY SYMBOL,GENERAL,POSTAL ,TOTAL,OVER TOTAL ELECTORS IN CONSTITUENCY,OVER TOTAL VOTES POLLED IN CONSTITUENCY,Total Electors,,
Andhra Pradesh,Adilabad ,GODAM NAGESH,M,49,ST,TRS,Car,425762,5085,430847,31.0793186379,40.8180724375,1386282,,
Andhra Pradesh,Adilabad ,NARESH,M,37,ST,INC,Hand,257994,1563,259557,18.7232467853,24.5902058681,1386282,,
Andhra Pradesh,Adilabad ,RAMESH RATHOD,M,48,ST,TDP,Bicycle,182879,1319,184198,13.2871955345,17.4507593342,1386282,,
Andhra Pradesh,Adilabad ,RATHOD SADASHIV,M,55,ST,BSP,Elephant,94363,57,94420,6.8110240196,8.9452692013,1386282,,
Andhra Pradesh,Adilabad ,NETHAWATH RAMDAS,M,44,ST,IND,Auto- Rickshaw,41028,4,41032,2.959859538,3.8873362197,1386282,,
Andhra Pradesh,Adilabad ,PAWAR KRISHNA,M,33,ST,IND,Bat,5051,4,5055,0.364644423,0.4789063314,1386282,,
Andhra Pradesh,Adilabad ,BANKA SAHADEV,M,53,ST,IND,Gas Cylinder,4780,7,4787,0.3453121371,0.453516243,1386282,,
Andhra Pradesh,Adilabad ,MOSALI CHINNAIAH,M,40,ST,IND,Almirah,8842,17,8859,0.6390474665,0.839294004,1386282,,
Andhra Pradesh,Adilabad ,None of the Above,,,,NOTA,NOTA,17021,63,17084,1.2323610925,1.6185233958,1386282,,
Andhra Pradesh,Peddapalle ,DR.JANAPATI SARAT BABU,M,42,SC,TDP,Bicycle,63174,160,63334,4.4433842797,6.1778600183,1425355,,
Andhra Pradesh,Peddapalle ,TAGARAM SHANKAR LAL,M,37,SC,BSP,Elephant,9430,19,9449,0.6629225702,0.9216944976,1425355,,
Andhra Pradesh,Peddapalle ,BALKA SUMAN,M,31,SC,TRS,Car,563214,2282,565496,39.6740461148,55.1608161322,1425355,,
Andhra Pradesh,Peddapalle ,G. VIVEKANAND,M,56,SC,INC,Hand,273441,897,274338,19.2469946084,26.760061921,1425355,,
Andhra Pradesh,Peddapalle ,KALVALA SHANKAR,M,44,SC,PPOI,Television,9288,2,9290,0.6517674544,0.9061849807,1425355,,
Andhra Pradesh,Peddapalle ,KALVALA SANJEEV,M,37,SC,RPI,Sewing Machine,8609,0,8609,0.6039898832,0.8397574273,1425355,,
Andhra Pradesh,Peddapalle ,BOTHA VENKATA MALLAIAH,M,58,SC,BCUF,Chappals,2245,0,2245,0.1575046217,0.218986575,1425355,,
Andhra Pradesh,Peddapalle ,J.V. RAJU,M,50,SC,NIP,Cup & Saucer,3020,0,3020,0.2118770412,0.2945832768,1425355,,
Andhra Pradesh,Peddapalle ,VENKATA SWAMY INJAM,M,42,SC,MaSP,Ring,3861,5,3866,0.2712306759,0.377105612,1425355,,
Andhra Pradesh,Peddapalle ,VELTHURU MALLAIAH,M,57,SC,RP(K),Auto- Rickshaw,45976,1,45977,3.2256525567,4.4847865295,1425355,,
Andhra Pradesh,Peddapalle ,KAMILLA JAYA RAO,M,43,SC,IND,Scissors,2741,1,2742,0.1923731281,0.2674660083,1425355,,
Andhra Pradesh,Peddapalle ,GADDALA VINAY KUMAR,M,65,SC,IND,Ceiling Fan,3263,3,3266,0.2291358995,0.3185791332,1425355,,
Andhra Pradesh,Peddapalle ,GORRE RAMESH,M,43,SC,IND,Gas Cylinder,2359,2,2361,0.1656429451,0.2303016942,1425355,,
Andhra Pradesh,Peddapalle ,JINNA RAMADEVI,F,37,SC,IND,Battery Torch,9199,0,9199,0.64538308,0.8973084648,1425355,,
Andhra Pradesh,Peddapalle ,THALLAPALLI SRINIVAS,M,35,SC,IND,Candles,3698,1,3699,0.2595142964,0.3608157421,1425355,,
Andhra Pradesh,Peddapalle ,BUPELLI NARAYANA,M,30,SC,IND,Bat,7255,3,7258,0.5092064784,0.7079753057,1425355,,
Andhra Pradesh,Peddapalle ,MOUTAM RAVINDER,M,33,SC,IND,Almirah,2671,3,2674,0.1876023868,0.2608330074,1425355,,
Andhra Pradesh,Peddapalle ,None of the Above,,,,NOTA,NOTA,5344,17,5361,0.376116827,0.5229340885,1425355,,
Andhra Pradesh,Karimnagar ,CHENNAMANENI VIDYA SAGAR RAO,M,73,GEN,BJP,Lotus,213836,992,214828,13.8526318505,19.0583323649,1550810,,
Andhra Pradesh,Karimnagar ,PONNAM PRABHAKAR,M,47,GEN,INC,Hand,298386,2320,300706,19.3902541253,26.6769457059,1550810,,
Andhra Pradesh,Karimnagar ,BURLA. RAVI,M,42,GEN,NCP,Clock,4768,1,4769,0.3075167171,0.423078868,1550810,,
Andhra Pradesh,Karimnagar ,B. LAXMAN,M,53,SC,BSP,Elephant,11289,39,11328,0.730456987,1.0049564723,1550810,,
Andhra Pradesh,Karimnagar ,VINOD KUMAR BOINAPALLY,M,54,GEN,TRS,Car,503197,2161,505358,32.5867127501,44.8325205618,1550810,,
Andhra Pradesh,Karimnagar ,DR.DHARMAIAH VENDAVETLA,M,61,SC,BMUP,Cot,3771,1,3772,0.2432277326,0.3346306333,1550810,,
Andhra Pradesh,Karimnagar ,L. PRABHAKAR REDDY,M,48,GEN,PPOI,Television,3942,1,3943,0.2542542284,0.3498007919,1550810,,
Andhra Pradesh,Karimnagar ,MEESALA RAJI REDDY,M,44,GEN,YSRCP,Ceiling Fan,3071,4,3075,0.1982834777,0.2727967119,1550810,,
Andhra Pradesh,Karimnagar ,RANAVENI LAKSHMAN,M,41,GEN,NIP,Cup & Saucer,2061,1,2062,0.1329627743,0.1829290471,1550810,,
Andhra Pradesh,Karimnagar ,REDDI MALLA SRINIVAS,M,46,SC,RPI(A),Sewing Machine,8033,1,8034,0.5180518568,0.7127313117,1550810,,
Andhra Pradesh,Karimnagar ,SHAIK MAHMOOD,M,58,GEN,WPOI,Auto- Rickshaw,39300,8,39308,2.5346754277,3.4871847645,1550810,,
Andhra Pradesh,Karimnagar ,UPPULETI.LAXMAN,M,49,SC,IND,Bat,2445,0,2445,0.1576595457,0.2169066538,1550810,,
Andhra Pradesh,Karimnagar ,KANDEM PRABHAKAR,M,45,GEN,IND,Gas Stove,4727,1,4728,0.3048729374,0.4194415785,1550810,,
Andhra Pradesh,Karimnagar ,PULIKOTA RAMESH,M,34,SC,IND,Battery Torch,1772,1,1773,0.1143273515,0.1572905919,1550810,,
Andhra Pradesh,Karimnagar ,MALLESH YADAV BARLA,M,26,GEN,IND,Coconut,2757,0,2757,0.1777780644,0.2445855397,1550810,,
Andhra Pradesh,Karimnagar ,MOHAMMED AMJAD MOHIUDDIN,M,45,GEN,IND,Kite,6713,0,6713,0.4328705644,0.5955396185,1550810,,
Andhra Pradesh,Karimnagar ,SRINIVAS REDDY LINGAMPALLY,M,41,GEN,IND,Carrom Board,3851,0,3851,0.2483218447,0.3416390691,1550810,,
Andhra Pradesh,Karimnagar ,None of the Above,,,,NOTA,NOTA,5722,12,5734,0.3697422637,0.5086882426,1550810,,
